frame_idx,timestamp,landmarks_detected,elbow_angle,shoulder_angle,wrist_angle,knee_angle,trunk_rotation,torso_lean,contact_height,wrist_x,wrist_y,wrist_velocity
0,0.0,True,106.05882036123656,67.52680006044908,159.61169277856393,169.7014915621687,-9.637708666051111,0.2510621623369426,-0.047082722187042236,0.4727121591567993,0.47522592544555664,0.0
1,0.033333258928571426,True,105.47357905731432,66.6323181272632,160.55121668460825,169.76483095556557,-9.473383644693854,0.9170802024325918,-0.047798097133636475,0.47293078899383545,0.4749794900417328,0.35253326852180195
2,0.06666651785714285,True,106.78670463991044,66.41620614741946,159.17768314331477,170.19489857718784,-8.953853224343604,1.1509770138036133,-0.04774942994117737,0.4722934663295746,0.4749165177345276,0.46589794856031463
3,0.09999977678571428,True,108.79091453874953,65.27106344210064,154.45763799245282,168.19593949924368,-8.365522908245595,1.4086148042499287,-0.04901447892189026,0.4715529680252075,0.4761337339878082,1.64673524496743
4,0.1333330357142857,True,114.06173346670599,64.74300470445074,143.24516747390783,168.4823130828088,-7.855956492083237,1.5572282517552816,-0.049205660820007324,0.46868422627449036,0.4761882424354553,2.066672126964845
5,0.16666629464285715,True,116.50619676830509,64.73165157351335,139.7130012667084,168.34978372226504,-8.425498252299661,1.120047912475746,-0.05013161897659302,0.466805100440979,0.4771093428134918,1.7946003593803412
6,0.19999955357142857,True,121.85406538663104,64.96734937085866,139.04444166669518,169.66130895620202,-10.829854369692043,0.24497779123603108,-0.05059805512428284,0.4638504981994629,0.47757306694984436,2.2085707754409905
7,0.23333281250000001,True,123.00220673044615,65.44986935405254,142.1076272839912,171.28128018160675,-11.277139063722743,0.5910265889104869,-0.0514090359210968,0.46049970388412476,0.4782467782497406,2.5620600167028202
8,0.2666660714285714,True,123.55969238175119,66.0722148341772,142.52859961198058,172.11971809811678,-10.871845820465651,0.5324309794267442,-0.05159270763397217,0.45672526955604553,0.47817736864089966,2.71904458969634
9,0.2999993303571429,True,120.4280808531172,67.53148889162645,144.31718873165542,171.93506308460323,-12.20653521207521,1.3219699096903144,-0.05191484093666077,0.454234778881073,0.47825542092323303,1.7959343250694468
10,0.3333325892857143,True,118.00332333287119,68.47363757150308,145.8626751237844,171.31365644276323,-14.106618634555986,2.4704256936006868,-0.05224877595901489,0.4527105987071991,0.4785827696323395,1.1746805626705863
11,0.3666658482142857,True,116.18329615940344,69.06947911622282,150.3262900962614,170.9727902522663,-14.600215714390146,2.83491725351925,-0.0523315966129303,0.4509968161582947,0.4786921441555023,1.2418401157416756
12,0.39999910714285714,True,118.45656519032306,69.26061973680888,147.80895115211158,170.32627853063914,-15.606954550065083,3.3919198594998177,-0.052484482526779175,0.44887977838516235,0.4788282513618469,1.5341910337307363
13,0.43333236607142855,True,120.61399806496547,69.39800008960032,150.36478220620575,171.80038876498452,-16.36174541679938,3.7829830114338807,-0.052468836307525635,0.44635432958602905,0.4788142740726471,1.8184111498849969
14,0.46666562500000003,True,123.95043466544612,68.01318143326839,149.5395974076332,173.04367108977064,-16.866241052996045,4.046923381059177,-0.05269145965576172,0.44473326206207275,0.4791328012943268,1.23633085171565
15,0.49999888392857145,True,126.74221681280228,67.96012554462209,149.00623202457427,172.7448285970027,-18.114060157651778,4.567683480800025,-0.05264759063720703,0.442228227853775,0.4790974259376526,1.8041929291500134
16,0.5333321428571428,True,129.28094366687773,67.07292768268817,146.4291371052633,173.76483085747887,-17.832205380823012,4.330198388944671,-0.05267047882080078,0.4396691620349884,0.47912341356277466,1.842827633151226
17,0.5666654017857143,True,132.10913176765095,66.0641445269,144.80497977446242,173.70633158364288,-17.996474301854107,4.417369106755038,-0.052656352519989014,0.4372895658016205,0.4791146218776703,1.7133462447721046
18,0.5999986607142858,True,131.74261690114605,64.67205431963865,152.5112606866996,174.29171340830572,-18.024447529533106,4.42188985604219,-0.053380340337753296,0.43496832251548767,0.4798407554626465,1.9123563142029403
19,0.6333319196428572,True,135.32979358983982,62.99698536075808,153.1717127314833,173.64608298015312,-20.261238158145375,5.722634897928114,-0.05489152669906616,0.4330941438674927,0.48146796226501465,2.481745837438764
20,0.6666651785714286,True,139.9838653779403,61.34463557339425,153.36826937378538,173.10372296957848,-21.37112815444462,6.368333626489925,-0.05572780966758728,0.4308334290981293,0.4825209081172943,2.113277256974413
